x,y,g,id,date
-87.622386,41.864905,46.503125,jv5Sw477NNnVzSWMDQX4cw,2018-06
-87.622397,41.865615,43.5770833333,g6hKfKMeG7KfXHAaHUObDw,2018-06
-87.622410,41.866302,48.1319791667,M-poZ0FzrYJ-8a-Q5ib0aQ,2018-06
-87.622428,41.866984,23.7416666667,jOcL31CiSLdNpnVIcRLYng,2018-06
-87.636339,41.847219,10.3978125,mKcglhM_TNDbvZ8tAkRwWQ,2018-06
-87.635413,41.847125,19.9863541667,kPDHRzBTWUNfSxT-GnFa4w,2018-06
-87.634588,41.847004,20.8301041667,W39ZwkhnhU4stuswhJS_gw,2018-06
-87.625367,41.848148,11.0167708333,XBJBRYJ60mM42FpXoFJlZQ,2018-06
-87.625396,41.848814,4.90854166667,aT3oABdzRYibvwxn5M8yCA,2018-06
-87.620823,41.861295,39.3039583333,rcsenC6lWruJDaU7SrK4Qw,2018-06
-87.620809,41.861930,45.38125,IHHEKydOfLx0pt9XXzcHPQ,2018-06
-87.620982,41.862588,49.4051041667,SpAkMLD6j6WVLfX-emnxlQ,2018-06
-87.621340,41.863203,46.544375,N7Q4J7kkmlKnLC4rSgwwtQ,2018-06
-87.621362,41.863895,39.8408333333,6R3K1Fh9dw7lzQdceKQ7FA,2018-06
-87.625753,41.864066,17.3273958333,D1lJXKEErd0WhoXXowI4ug,2018-06
-87.624799,41.864088,12.3942708333,V_cBgFGkYQE9AjqwJ1upTQ,2018-06
-87.623890,41.864121,12.63875,SWQEygQkL9uWoMXt0d_Mhg,2018-06
-87.623065,41.864114,19.588125,oA7D62h3-s7ClMUxtLFFWg,2018-06
-87.622136,41.864134,45.0796875,njD-7QaZm6c5iyaJKo16Hg,2018-06
-87.621227,41.864150,40.1394791667,BIlTBN00vEILramuODRV6g,2018-06
-87.633655,41.875669,11.0946875,UjP5sr9wVC2_NeRPWffS2Q,2018-06
-87.634565,41.875731,15.4420833333,hn4hVpXD3SfWQmZxy-27OQ,2016-08
-87.679333,41.974181,28.3610416667,3WpWXKNi4lY2VTd8QnalEw,2017-09
-87.679314,41.973551,30.6769791667,SUOc_LTQ-RQRGus5FzfWlQ,2017-09
-87.647368,41.884409,9.40041666667,OdRHX0uPFkidSW111zRaAw,2018-06
-87.647452,41.885098,2.96791666667,g3V3yZaK4MLBowh8op_v8g,2018-07
-87.644370,41.889052,1.41697916667,hqlFH3N-YRkftxAZWNQVEw,2018-07
-87.630900,41.881981,1.054375,b2UWLWRP11bj_gk0kkoCgg,2018-06
-87.630863,41.881324,7.75541666667,1p1NYKG8iCGIhVR8FJ41Dw,2018-07
-87.630840,41.880646,3.46635416667,Ko-dQqHJvuJcFnPGOdOBQg,2018-07
-87.630831,41.880001,0.2603125,puMoOEg3xqrO68yL8Oj2dw,2018-06
-87.685783,41.914744,18.8327083333,mu3GCq4BONA4hHvLSmP_CA,2018-07
-87.686650,41.914723,27.8952083333,z922QFSKtSLsShk9DkL-mQ,2018-07
-87.689368,41.982806,25.7879166667,pvoYdesZe3BXcWeXbkfYqA,2018-07
-87.689336,41.982125,11.5545833333,KibpaCBFvmWpN2D7vxK4Tg,2018-07
-87.689307,41.981496,11.6352083333,zkV6jwt8zxtce0gPrOhG8A,2018-07
-87.689280,41.980822,18.4183333333,fV5AXJGcJ1GzdrboRakROA,2018-07
-87.689362,41.980137,24.1902083333,M9OMGME_eLFv6m-FC2G8eg,2018-07
-87.689309,41.978829,21.5652083333,RiuNe-3EPPcqjRTWexbqGA,2018-07
-87.663739,41.882869,13.7020833333,Tkd6PfliWNJWb_WU-mjgKQ,2017-09
-87.662827,41.882896,11.7614583333,u3sFAXMx23nutS_fc4zUJA,2017-09
-87.661947,41.882915,10.5120833333,AYF0aeZ3QtnotxU06pHHMg,2018-06
-87.661006,41.882931,22.8113541667,PwzxhSe-9Xy8diKOX0IB6g,2017-09
-87.660185,41.882941,28.095,eqVWtogx1q1MNZeJaRNAGw,2017-09
-87.659257,41.882949,30.5955208333,ra8xEVzT9p9FD5elX9cOrQ,2018-06
-87.658322,41.882960,23.5698958333,PQkZ-dI5E5i4oAMEYGNFdg,2017-07
